id,is_summer_release,is_holiday_release,is_spring_release,is_action,is_adventure,is_animation,is_comedy,is_crime,is_documentary,is_drama,is_family,is_fantasy,is_history,is_horror,is_music,is_mystery,is_romance,is_science_fiction,is_thriller,is_war,is_western,is_english,is_korean,is_non_english,is_adult,has_overview,has_poster,has_backdrop,popularity_scaled,vote_count_scaled,release_year_scaled,release_month_scaled,release_quarter_scaled,movie_age_scaled,primary_genre_scaled,genre_count_scaled,log_popularity_scaled,log_vote_count_scaled,vote_efficiency_scaled,title_length_scaled,title_word_count_scaled,overview_length_scaled,backdrop_path_encoded,genre_ids_encoded,original_language_encoded,original_title_encoded,overview_encoded,poster_path_encoded,title_encoded,rating_tier_encoded,popularity_tier_encoded,vote_average
6479,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,-0.2719887419520114,1.2859985174948738,-0.5955451366192972,1.6470078300178583,1.3485874489915786,0.5955451366193026,-0.3750011483710732,0.21503701350050586,-0.5547461688249866,0.9533767765256153,1.8530746147356079,-0.2667498061148847,-0.3051907387590099,-0.7220301546147366,148,188,3,289,312,851,138,1,1,7.21
1477566,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.31545020534373647,-0.9437641106492904,0.874864322639433,0.13212745841966334,0.42679434209465283,-0.8748643226394278,-0.3508346507502038,-1.8364390939053885,-0.8656687642738848,-2.0650654951332847,-0.9683657589067106,2.034047876925989,2.021562585796861,2.064040291981831,273,410,3,756,665,823,158,3,4,5.591
50270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-0.3036087569211993,-0.8723177345259231,-1.902575767071502,-1.3827529131785317,-1.4167918716991985,1.9025757670715073,-0.3750011483710732,-1.8364390939053885,-0.7743607763129225,-0.6116863412322938,-0.8639291285651104,-0.8419492268751031,-1.0807751802776335,-0.20846878197020816,89,196,9,460,382,421,794,1,4,7.1
1272149,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,-0.25897755150088364,-0.8963635168188939,0.874864322639433,-0.7768007645392536,-0.4949987648022728,-0.8748643226394278,2.8266122586604,0.21503701350050586,-0.4729656666554157,-0.7907920996672644,-0.9126492567791742,1.4588484561657706,2.021562585796861,0.06757045582622595,888,9,3,101,89,160,403,3,1,6.5
815029,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-0.21547132260723245,-0.9427967515915273,0.7114854938329075,0.4351035327393023,0.42679434209465283,-0.7114854938329023,-0.36963081556643557,-0.8107010402024414,-0.22801483108938597,-1.942708627331871,-0.9690235627773325,-1.0336823671285091,-1.0807751802776335,-0.4459909168183026,268,337,24,808,141,500,229,1,2,7.214
602,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,-0.28412019297398283,0.4204885490990324,-1.494128695055188,0.13212745841966334,0.42679434209465283,1.4941286950551933,-0.37201763014627454,0.21503701350050586,-0.6352426544708003,0.727553126322327,0.8531220474962342,-0.07501666586147855,-0.3051907387590099,1.5633179536534154,747,244,3,300,97,397,641,1,1,6.894
12155,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.23801561864244747,1.0313066970009355,-0.3504768934095088,-1.0797768388588926,-1.4167918716991985,0.35047689340951427,2.82720896230536,0.21503701350050586,-0.34993896285566845,0.8976065891407681,1.2106662177645409,0.5001827548987399,0.4703937027596137,0.8379125147930188,616,19,3,36,216,192,627,1,2,6.635
141,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,-0.3206527351980169,0.825535605999593,-1.0039922086356112,1.3440317556982193,1.3485874489915786,1.0039922086356168,-0.3761945556609927,0.21503701350050586,-0.90761501232334,0.8470279950738865,1.8662949929041344,-0.6502160866216969,-0.3051907387590099,2.930675108319473,577,92,3,167,58,746,228,1,4,7.77
177677,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.24420688219144338,0.3248581965315851,0.05797017860680513,0.13212745841966334,0.42679434209465283,-0.057970178606799774,-0.37201763014627454,-0.8107010402024414,-0.38523604799906863,0.6941666953435982,0.4642519929286677,1.0753821756589583,0.4703937027596137,0.26015597056792417,534,245,3,419,300,685,343,1,2,7.214
297,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,-0.2873063289154183,-0.19254070522061514,-1.3307498662486623,1.6470078300178583,1.3485874489915786,1.3307498662486679,-0.3761945556609927,0.21503701350050586,-0.6571213300158867,0.453663070975171,0.049155723893348637,-0.07501666586147855,0.4703937027596137,1.3835714732278304,604,89,3,401,599,771,665,1,1,7.347
