id,is_summer_release,is_holiday_release,is_spring_release,is_action,is_adventure,is_animation,is_comedy,is_crime,is_documentary,is_drama,is_family,is_fantasy,is_history,is_horror,is_music,is_mystery,is_romance,is_science_fiction,is_thriller,is_war,is_western,is_english,is_korean,is_non_english,is_adult,has_overview,has_poster,has_backdrop,popularity_scaled,vote_count_scaled,release_year_scaled,release_month_scaled,release_quarter_scaled,movie_age_scaled,primary_genre_scaled,genre_count_scaled,log_popularity_scaled,log_vote_count_scaled,vote_efficiency_scaled,title_length_scaled,title_word_count_scaled,overview_length_scaled,backdrop_path_encoded,genre_ids_encoded,original_language_encoded,original_title_encoded,overview_encoded,poster_path_encoded,title_encoded,rating_tier_encoded,popularity_tier_encoded,vote_average
755898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,25.639471424637183,-0.8699194586081737,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.12032846622636868,-0.8353966893450575,7.230620638710576,-1.0212521269067434,-0.9182854039552304,-0.8529798475844937,-1.0876732681102308,-0.5789165648647745,477,408,4,762,605,847,601,2,3,4.5
1234821,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,6.311389542782759,-0.7633434066862391,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.12032846622636868,0.187184320434162,5.2874200578306985,-0.25526804816430426,-0.9156796837709029,1.0380200650214102,1.241175543851594,-0.046474137312199584,392,386,4,336,642,837,675,3,3,6.358
986206,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,6.244338457865778,-0.8898939176333373,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.37294016989980994,0.187184320434162,5.272901249844287,-1.9705113226003488,-0.9183532916504953,0.8489200737608198,-0.31139033078962247,-1.480936677424431,478,265,4,438,0,775,54,3,3,5.5
1087192,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4.443779003630595,-0.6948009137300271,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.3771008332544313,1.2097653302133815,4.814240542058499,-0.06829839306498584,-0.9125780463124358,-0.09657988254213215,-0.31139033078962247,0.6425690042264268,205,81,4,288,397,186,237,0,3,8.033
1100988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,3.796969460578152,-0.7664900680395184,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.3732373601394257,0.187184320434162,4.605013869246652,-0.2661005627449829,-0.9141026251821096,-0.6638798563239033,-0.31139033078962247,0.12891866235217805,149,222,4,10,77,864,13,1,3,6.93
1311031,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3.7346504276247323,-0.884011029016337,0.8425039713360181,0.4723081040203148,0.4605751979392444,-0.8425039713360118,-0.3765064527751997,1.2097653302133815,4.583124326485405,-1.451112240307525,-0.9181161031250468,1.416220047542591,1.241175543851594,1.5571171739049674,14,144,13,811,768,266,137,1,3,6.9
715253,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,3.1492832858422486,-0.8851055199218254,0.6695473453484583,-1.6681079196855004,-1.3921932119527165,-0.6695473453484521,-0.37294016989980994,0.187184320434162,4.359125916809963,-1.5117831101432548,-0.9181110296866494,-1.2311798301056744,-1.0876732681102308,0.5486085758347959,778,290,14,863,35,827,617,1,3,6.547
1071585,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,2.7029829615547962,-0.8090384019903805,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.37294016989980994,0.187184320434162,4.160886546952116,-0.44703724459752964,-0.9145098144569274,-0.47477986506331293,-0.31139033078962247,-0.8106856215641307,329,310,4,385,132,114,316,1,3,7.629
1263256,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2.150107875045452,-0.8306545973737768,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.37085983822249924,-0.8353966893450575,3.8692942268726247,-0.5786888788785376,-0.9148620216951602,-0.09657988254213215,0.46489260653098574,-0.9860784212285083,799,332,4,261,761,842,849,1,3,6.7
552524,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2.3794697105225944,-0.7221631863672375,0.8425039713360181,-0.44501304899646316,-0.4658090070067361,-0.8425039713360118,2.813830769500555,1.2097653302133815,3.9976116323146864,-0.13372255069923797,-0.9094764033814119,-0.09657988254213215,0.46489260653098574,0.2103510336249248,187,37,4,370,327,795,284,1,3,7.3
1181540,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2.29633629452086,-0.8852423312850115,0.8425039713360181,-0.44501304899646316,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,0.187184320434162,3.9524322133345606,-1.5199920510796532,-0.9180205255030156,-0.28567987380272253,-0.31139033078962247,-1.480936677424431,10,281,4,256,0,53,39,1,3,6.837
980477,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2.554662158094674,-0.8611635313642664,0.8425039713360181,-1.6681079196855004,-1.3921932119527165,-0.8425039713360118,-0.3765064527751997,1.2097653302133815,4.088354761279262,-0.8773039659068642,-0.9168707082442215,-0.28567987380272253,-1.0876732681102308,-0.02141802307443135,214,137,28,816,3,143,161,1,3,7.993
617126,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2.1765925111901296,-0.7820865634427283,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.12032846622636868,-0.8353966893450575,3.8847179568082773,-0.32413030390062203,-0.9121410252432565,1.0380200650214102,1.241175543851594,1.4130445170378,693,388,4,624,45,688,795,1,3,7.296
1119878,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1.991469791003066,-0.8708771381504761,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,0.187184320434162,3.7732231179320532,-1.040290147258244,-0.9170857359625866,0.47072009123963904,0.46489260653098574,0.7929056896530362,231,286,4,301,115,303,517,1,3,6.768
1061474,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2.09707898789245,-0.6901493273817013,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.12032846622636868,0.187184320434162,3.8378985647859487,-0.058084780324893386,-0.9065321598614625,-1.042079838845084,-1.0876732681102308,-0.15922665138215664,382,386,4,574,406,490,462,1,3,7.59
1011477,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.8165969181918467,-0.8112273838013574,0.8425039713360181,-0.44501304899646316,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,0.187184320434162,3.6591868169424835,-0.45871010594020706,-0.913002165276513,0.47072009123963904,0.46489260653098574,-1.0111345354662766,179,239,4,342,489,218,386,1,3,7.1
1124619,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.6041246576908046,-0.8844214631058952,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,-0.8353966893450575,3.5070312124065235,-1.4728935084043455,-0.9178174854647021,-0.28567987380272253,-0.31139033078962247,-1.480936677424431,30,284,4,97,0,60,405,3,3,6.0
1307078,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1.9774495478247802,-0.8794962540311974,0.8425039713360181,0.4723081040203148,0.4605751979392444,-0.8425039713360118,2.8132363890213234,0.187184320434162,3.7644109701856907,-1.2637016313049718,-0.9176105427518545,0.28162009997904863,-0.31139033078962247,-0.854533821480225,256,7,4,434,519,719,592,1,3,7.4
541671,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1.390908677333449,-0.7222999977304235,0.8425039713360181,0.4723081040203148,0.4605751979392444,-0.8425039713360118,-0.37294016989980994,0.187184320434162,3.3359338754861083,-0.13407543585545872,-0.9041795202978946,-0.8529798475844937,-1.0876732681102308,-0.3909957080815128,608,290,4,70,359,380,364,1,3,7.5
803796,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1.3807311496282584,-0.768131804397751,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.3765064527751997,2.232346339992601,3.327227086402415,-0.27186019353892066,-0.9079496567506397,0.28162009997904863,0.46489260653098574,-0.8357417358018989,537,140,4,341,678,489,710,0,3,8.453
1315986,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.1852061243812702,-0.8860631994641278,0.8425039713360181,-1.6681079196855004,-1.3921932119527165,-0.8425039713360118,-0.37294016989980994,-0.8353966893450575,3.148658334810086,-1.5727552942640723,-0.9178050684383641,0.28162009997904863,1.241175543851594,-0.6603489361375213,222,264,4,397,184,361,308,3,3,6.4
986056,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1.1322573752416947,-0.6016323754003257,0.8425039713360181,-0.7507867666687225,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,0.187184320434162,3.0961656997426816,0.10127790123353551,-0.8896052117584838,-0.6638798563239033,-1.0876732681102308,-0.854533821480225,687,305,4,725,481,19,498,1,3,7.414
574475,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1.0638957406173328,-0.6398027457292341,0.8425039713360181,-0.44501304899646316,-0.4658090070067361,-0.8425039713360118,-0.3732373601394257,-0.8353966893450575,3.0253859688642435,0.039496276216386884,-0.8921062679706654,1.6053200388031814,0.46489260653098574,-0.7480453359697101,731,228,4,213,178,252,788,1,3,7.2
1374534,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0.97692058643535,-0.8767600267674762,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,-0.37294016989980994,1.2097653302133815,2.9299063912323224,-1.1797967525436763,-0.9166686247294353,-0.28567987380272253,-0.31139033078962247,-0.854533821480225,245,280,16,66,224,634,556,3,3,5.9
7451,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0.9770916126835166,-0.27738944464938237,-1.14649722752092,1.0838555393648335,1.386959402885225,1.1464972275209264,-0.37294016989980994,1.2097653302133815,2.9301005911699245,0.4301891122208507,-0.8499161846781929,-0.47477986506331293,-0.31139033078962247,2.8662991428283577,280,243,4,788,435,815,779,3,3,5.956
911430,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.8039720032392179,-0.760333556696146,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,-0.8353966893450575,2.718509909580762,-0.24515069792120778,-0.9013365718348868,-0.28567987380272253,0.46489260653098574,-0.040210108752757524,546,264,4,191,748,289,33,1,3,7.599
1189735,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.7277392520277993,-0.8905779744492676,0.8425039713360181,-0.44501304899646316,-0.4658090070067361,-0.8425039713360118,-0.3732373601394257,-1.8579776991242771,2.6142901181413856,-2.1046244236892244,-0.9181583814155885,-0.8529798475844937,-1.0876732681102308,-0.2719791654521137,657,229,7,227,133,632,819,1,3,7.0
1058537,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.6511243793133341,-0.886610444916872,0.7560256583422381,0.16653438634805548,0.4605751979392444,-0.756025658342232,-0.3732373601394257,1.2097653302133815,2.5012130800247925,-1.6118179661740044,-0.9175399448320177,1.2271200562820006,1.241175543851594,-0.942230221312414,812,209,4,42,548,330,684,3,3,6.0
1175942,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.7539238592685502,-0.8877049358223604,0.8425039713360181,0.16653438634805548,0.4605751979392444,-0.8425039713360118,2.813830769500555,2.232346339992601,2.650957770885076,-1.7022210974538583,-0.9177751209935892,-0.09657988254213215,0.46489260653098574,-0.8858539642774353,512,36,4,599,650,22,369,1,3,7.588
749170,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0.6215514977731885,-0.8078070997217061,0.8425039713360181,-0.13923933132420382,-0.4658090070067361,-0.8425039713360118,-0.37294016989980994,0.187184320434162,2.455035183197177,-0.44060508733978376,-0.9052427923832218,-0.6638798563239033,-0.31139033078962247,-0.5601244791864484,755,288,4,271,506,75,124,1,3,6.953
